t,euler,verlet,rk4
0.050,7.755270e-05,7.699062e-09,5.175294e-16
0.100,1.664522e-04,3.107627e-08,1.897608e-15
0.150,2.780546e-04,7.080320e-08,2.415137e-15
0.200,4.235386e-04,1.274121e-07,1.725098e-16
0.250,6.133425e-04,2.003625e-07,9.143019e-15
0.300,8.560548e-04,2.867652e-07,2.777408e-14
0.350,1.156720e-03,3.801021e-07,5.537565e-14
0.400,1.514806e-03,4.696849e-07,8.987760e-14
0.450,1.922487e-03,5.418100e-07,1.219644e-13
0.500,2.364221e-03,5.830644e-07,1.416305e-13
0.550,2.818402e-03,5.848428e-07,1.423206e-13
0.600,3.261055e-03,5.467592e-07,1.233445e-13
0.650,3.670406e-03,4.768081e-07,9.091266e-14
0.700,4.030629e-03,3.881681e-07,5.537565e-14
0.750,4.333581e-03,2.946766e-07,2.604898e-14
0.800,4.578434e-03,2.073584e-07,5.347804e-15
0.850,4.769991e-03,1.330882e-07,4.830274e-15
0.900,4.916662e-03,7.502245e-08,8.452980e-15
0.950,5.028757e-03,3.385056e-08,8.452980e-15
1.000,5.117370e-03,9.090315e-09,6.382863e-15
1.050,5.193817e-03,5.568823e-11,6.382863e-15
1.100,5.269469e-03,6.421372e-09,6.727882e-15
1.150,5.355788e-03,2.842089e-08,8.798000e-15
1.200,5.464375e-03,6.670753e-08,8.798000e-15
1.250,5.606836e-03,1.218567e-07,6.037843e-15
1.300,5.794263e-03,1.934674e-07,3.277686e-15
1.350,6.036111e-03,2.789079e-07,2.087369e-14
1.400,6.338411e-03,3.720119e-07,4.882027e-14
1.450,6.701512e-03,4.624357e-07,8.297721e-14
1.500,7.118044e-03,5.366345e-07,1.167891e-13
1.550,7.572190e-03,5.809955e-07,1.395604e-13
1.600,8.041255e-03,5.863290e-07,1.409405e-13
1.650,8.499621e-03,5.514779e-07,1.226545e-13
1.700,8.923812e-03,4.838009e-07,8.953259e-14
1.750,9.296736e-03,3.962071e-07,5.485812e-14
1.800,9.609659e-03,3.026420e-07,2.415137e-14
1.850,9.861780e-03,2.144576e-07,3.622706e-15
1.900,1.005831e-02,1.388892e-07,7.072902e-15
1.950,1.020817e-02,7.937031e-08,1.155816e-14
2.000,1.032208e-02,3.674917e-08,1.121314e-14
2.050,1.041136e-02,1.060067e-08,1.069561e-14
2.100,1.048720e-02,2.283036e-10,9.488039e-15
2.150,1.056057e-02,5.262720e-09,1.086812e-14
2.200,1.064214e-02,2.588965e-08,1.138565e-14
2.250,1.074236e-02,6.274009e-08,1.259322e-14
2.300,1.087138e-02,1.164255e-07,9.660549e-15
2.350,1.103866e-02,1.866747e-07,1.380078e-15
2.400,1.125220e-02,2.711027e-07,1.569839e-14
2.450,1.151724e-02,3.638902e-07,4.260992e-14
2.500,1.183469e-02,4.550456e-07,7.676686e-14
2.550,1.219964e-02,5.312083e-07,1.105788e-13
2.600,1.260062e-02,5.786021e-07,1.335226e-13
2.650,1.302040e-02,5.874826e-07,1.371453e-13
2.700,1.343849e-02,5.559251e-07,1.202393e-13
2.750,1.383471e-02,4.906278e-07,9.022262e-14
2.800,1.419272e-02,4.041936e-07,5.434059e-14
2.850,1.450217e-02,3.106464e-07,2.294380e-14
2.900,1.475923e-02,2.216537e-07,6.900392e-16
2.950,1.496565e-02,1.448144e-07,1.224820e-14
3.000,1.512715e-02,8.384874e-08,1.742349e-14
3.050,1.525190e-02,3.977432e-08,1.776851e-14
3.100,1.534922e-02,1.223105e-08,1.673345e-14
3.150,1.542890e-02,5.168188e-10,1.587090e-14
3.200,1.550078e-02,4.220199e-09,1.656094e-14
3.250,1.557470e-02,2.347863e-08,1.759600e-14
3.300,1.566045e-02,5.889772e-08,1.880357e-14
3.350,1.576780e-02,1.111189e-07,1.673345e-14
3.400,1.590627e-02,1.799914e-07,9.488039e-15
3.450,1.608466e-02,2.633674e-07,7.072902e-15
3.500,1.631009e-02,3.557679e-07,3.432945e-14
3.550,1.658669e-02,4.475586e-07,6.814137e-14
3.600,1.691394e-02,5.255839e-07,1.024708e-13
3.650,1.728541e-02,5.759380e-07,1.264497e-13
3.700,1.768835e-02,5.883504e-07,1.326600e-13
3.750,1.810484e-02,5.601355e-07,1.176517e-13
3.800,1.851463e-02,4.973102e-07,8.763498e-14
3.850,1.889865e-02,4.121371e-07,5.313302e-14
3.900,1.924218e-02,3.186909e-07,2.225376e-14
3.950,1.953661e-02,2.289425e-07,1.207569e-15
4.000,1.977953e-02,1.508565e-07,1.328325e-14
4.050,1.997363e-02,8.844934e-08,1.914859e-14
4.100,2.012510e-02,4.291767e-08,1.983863e-14
4.150,2.024220e-02,1.397397e-08,1.880357e-14
4.200,2.033411e-02,9.149835e-10,1.811353e-14
4.250,2.041037e-02,3.289011e-09,1.863106e-14
4.300,2.048051e-02,2.118459e-08,2.087369e-14
4.350,2.055403e-02,5.517878e-08,2.087369e-14
4.400,2.064040e-02,1.059369e-07,1.811353e-14
4.450,2.074904e-02,1.734198e-07,1.121314e-14
4.500,2.088905e-02,2.557062e-07,4.312745e-15
